KM_Driven,Car_Age,Owner_Number,Latitude,Longitude,Fuel_Diesel,Fuel_Electric,Fuel_Petrol,Trans_Manual,Brand_Hyundai,Brand_Kia,Brand_MG,Brand_Mahindra,Brand_Maruti Suzuki,Brand_Mercedes-Benz,Brand_Other,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen
45000.0,4,1.0,22.5280337,88.3659084,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
60000.0,14,2.0,22.5262287,88.3526209,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
34703.0,12,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
25000.0,9,1.0,30.6922961,76.7999692,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
60000.0,7,1.0,22.4726577,88.3977506,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
45000.0,8,2.0,22.5280337,88.3659084,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12000.0,3,2.0,22.540728,88.3827317,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
78872.0,14,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
30000.0,10,1.0,22.4652952,88.3311283,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
18000.0,3,2.0,22.5060294,88.2501665,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90000.0,10,3.0,22.5726,88.3639,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
41082.0,6,1.0,22.5262287,88.3526209,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
56000.0,6,2.0,22.4565251,88.3865114,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
50000.0,6,1.0,22.5044355,88.3721663,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
42000.0,8,2.0,22.5153313,88.3477052,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
31000.0,4,1.0,22.540728,88.3827317,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
110000.0,12,1.0,22.5153313,88.3477052,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
34148.0,4,1.0,22.5726,88.3639,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
71483.0,11,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
88797.0,13,1.0,22.5726,88.3639,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
70000.0,9,2.0,22.5726,88.3639,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
48000.0,4,1.0,22.5280337,88.3659084,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
30000.0,6,1.0,22.5726,88.3639,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28145.0,11,1.0,22.9822325,88.439166,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
49469.0,14,1.0,22.5726,88.3639,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
21377.0,1,1.0,22.9822325,88.439166,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
12000.0,6,1.0,22.5356484,88.3370536,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
32000.0,5,1.0,22.5280337,88.3659084,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
