Title,Link,Price,Year,KM Driven,Fuel Type,Transmission,Location,AI Highlights,Price (detail page),KM Driven (detail page),EMI,Fuel Type (detail page),Transmission (detail page),Owner
MG Hector Sharp DCT,https://www.cardekho.com/used-car-details/used-Mg-hector-sharp-dct-cars-Kolkata_ffc47d5d-a9c8-4d6d-a6a4-d30ba3e0f437.htm?adId=29723&adType=41,8.65L,2019,"65,000 kms",Petrol,Automatic,"Ballygunge, Kolkata","AI Expert
GREAT PRICE
1st owner, 65k km — ownership is clean on this Hector.
Read the full verdict before you decide.
Read full report",₹8.65 Lakh,"65,000 km","EMI from ₹21,470/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Alto K10 VXI,https://www.cardekho.com/used-car-details/used-Maruti-alto-k10-vxi-cars-Kolkata_d6c56954-9fcc-4c17-8093-f57f9307debc.htm,2.25L,2017,"35,471 kms",Petrol,Manual,"E.k.t, Kolkata","AI Expert
GREAT PRICE
3 owners, 35k km — papers are clean on this Alto K10.
Comprehensive insurance — valid till July 2027.
Read full report",₹2.25 Lakh,"35,471 km","EMI from ₹6,975/mo",Petrol,Manual,3rd Owner
Honda WR-V i-VTEC VX,https://www.cardekho.com/used-car-details/used-Honda-wr-v-i-vtec-vx-cars-Kolkata_81053a31-d2a9-4f1a-bf74-18d7477ab465.htm,5.91L,2022,"50,467 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 50k km — documents look clean on this WR-V.
Comprehensive insurance — valid till April 2027.
Read full report",₹5.91 Lakh,"50,467 km","EMI from ₹14,669/mo",Petrol,Manual,1st Owner
Maruti Suzuki Swift Dzire VXI,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-vxi-cars-Kolkata_4a89c039-79c5-42f6-8af8-56dce0f687ad.htm,2.77L,2013,"45,046 kms",Petrol,Manual,"Airport Po, Kolkata","AI Expert
GREAT PRICE
1st owner, 45k km — ownership is clean on this Swift Dzire.
300-point inspection done. Warranty included.
Read full report",₹2.77 Lakh,"45,046 km",,Petrol,Manual,1st Owner
Hyundai Verna SX,https://www.cardekho.com/used-car-details/used-Hyundai-verna-sx-cars-Kolkata_a8631b74-b794-454c-8b15-22648e6db5e6.htm?adId=31023&adType=41,7.99L,2021,"22,000 kms",Petrol,Manual,"Bhowanipore, Kolkata","AI Expert
GREAT PRICE
1st owner, 22k km — history looks solid on this Verna.
Hyundai has a wide service network across India.
Read full report",₹7.99 Lakh,"22,000 km
Below avg","EMI from ₹19,835/mo",Petrol,Manual,1st Owner
Hyundai Creta SX (O) Turbo DCT,https://www.cardekho.com/used-car-details/used-Hyundai-creta-sx-o-turbo-dct-cars-Kolkata_2d089dcf-6d13-466c-af99-64f5197bf386.htm,10.76L,2020,"51,351 kms",Petrol,Automatic,"E.k.t, Kolkata","AI Expert
FAIR PRICE
1st owner, 51k km, insurance flagged — papers are clean on this Creta.
300-point inspection done. Warranty included.
Read full report",₹10.76 Lakh,"51,351 km","EMI from ₹26,707/mo",Petrol,Automatic,1st Owner
Skoda Slavia 1.0 TSI Style,https://www.cardekho.com/used-car-details/used-Skoda-slavia-10-tsi-style-cars-Kolkata_ab3d0383-5adf-4a95-b49c-d62434c5e5b7.htm,9.91L,2023,"18,677 kms",Petrol,Manual,"E.k.t, Kolkata","AI Expert
GREAT PRICE
1st owner, 19k km — papers are clean on this Slavia.
Only 19k km — lower than 88% of similar Slavias on CarDekho.
Read full report",₹9.91 Lakh,"18,677 km
Below avg","EMI from ₹24,597/mo",Petrol,Manual,1st Owner
Toyota Hyryder V AT,https://www.cardekho.com/used-car-details/used-Toyota-hyryder-v-at-cars-Kolkata_f1d0d71f-9d60-4cfe-b14f-c79eb804e7d5.htm,10.08L,2024,"26,999 kms",Petrol,Automatic,"University, Kolkata","AI Expert
BELOW MARKET
1st owner, 27k km — records look solid on this Hyryder.
Only 2 years old — near-new at used-car pricing.
Read full report",₹10.08 Lakh,"26,999 km
Below avg","EMI from ₹25,022/mo",Petrol,Automatic,1st Owner
Maruti Suzuki Ciaz Zeta BSVI,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-zeta-bsvi-cars-Kolkata_ca0da6bb-88e3-4b11-9b63-394a7894dada.htm?adId=32864&adType=41,4L,2021,"70,000 kms",Petrol,Manual,"Regent Park, Kolkata","AI Expert
BELOW MARKET
1st owner, no accident, 70k km — papers are clean on this Ciaz.
₹1.1L below what similar Ciazs sell for.
Read full report",₹4 Lakh,"70,000 km","EMI from ₹9,929/mo",Petrol,Manual,1st Owner
Volkswagen Polo 1.2 MPI Comfortline,https://www.cardekho.com/used-car-details/used-Volkswagen-polo-12-mpi-comfortline-cars-Kolkata_72ec2f1d-68f4-4538-960d-db0567a65fc8.htm,2.50L,2014,"1,10,000 kms",Petrol,Manual,"Kalighat, Kolkata",,₹2.50 Lakh,"1,10,000 km",,Petrol,Manual,1st Owner
